 ,∂s/∂n,∂s/∂τ,∂s/∂x_m,∂s/∂x_f
fun_travwave.jl,0.10298315656272834 + 0.08269441085108045im,0.2539549055356268 - 0.34197060875680085im,-0.2664856896104548 - 0.17766984877202488im,0.43129016791308405 + 0.21134136333692508im
fun_Helm_FD.jl,0.06352742580417794 + 0.04395405746179508im,0.1355361973804775 - 0.20538314389522894im,0.25620348883992117 + 0.5260783002983651im,-0.00018778151173661582 - 0.00012390701258737386im
fun_Helm_FE.jl,0.09077863158522863 + 0.06898040032945059im,0.2119361934036108 - 0.2986149207156169im,-0.7177778588651603 - 0.4648825020831625im,0.015511297218742538 + 0.009546102267268455im
fun_Galerkin.jl,0.10620694712928665 + 0.0814551295167666im,0.24931502141943562 - 0.3522654575513659im,-0.27004947207610747 - 0.17592801571157263im,0.40311260776694574 + 0.22289571012337686im
