N,fun_travwave,fun_Helm_FD,fun_Helm_FE,fun_Galerkin
1,0.12187530859257883 + 3.2227814041928715im,-,-,-
10,-,0.12301472009722814 + 3.2222551623591285im,1.2649666277747205e-10 + 3.141592631034653im,3.42049450595866e-21 + 3.1545273778453238im
40,-,0.12363155192096682 + 3.221964689943754im,0.06990252109480179 + 3.184618956384646im,0.1045690701269305 + 3.2100253033952892im
100,-,0.12115229273097906 + 3.2231040481839406im,0.12302841468171331 + 3.2235632383934383im,0.12181433836201444 + 3.2228598981240886im
400,-,0.12205739886178892 + 3.2226989128574868im,0.12181867950887351 + 3.2227425705073545im,0.12181840527018106 + 3.2227499047678436im
